ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
458,42319,15,"[602.1521775089203, 3287.177461660247, 130.8992414754602]",[ 0.49472133  0.77381191 -0.39555775],[0.37814758 0.21813695 0.8996781 ],[ 0.78246739 -0.59466915 -0.1846981 ],0.6498655370888654,-0.2318027524233196,0.6721778604198793
460,33187,12,"[599.2524783800886, 3021.9898454214, 225.84069063187394]",[0.5732064  0.80375959 0.15938932],[ 0.03350769 -0.2173463   0.97551926],[ 0.81872563 -0.55383311 -0.15151642],0.5947502896285671,-0.1829933850803277,0.6116082688721888
461,153811,56,"[629.4016747826878, 3380.4848352848626, 88.41465824941]",[-0.30578863 -0.64680909  0.69866395],[0.48472946 0.52582942 0.69895692],[ 0.81946975 -0.55239608 -0.15273476],0.5931240071347302,-0.18426811467012658,0.6103111245752642
462,38736,14,"[599.554419661297, 747.288388062784, 182.32806691449815]",[0.29693085 0.1646804  0.94059154],[ 0.61346027  0.72196022 -0.32006239],[ 0.73177767 -0.67205194 -0.11334738],0.7428789453581084,-0.15367199480612784,0.7498697102839511
464,56625,20,"[594.7952671081678, 2396.2405651214126, 180.3268344370861]",[-0.0219104  -0.29980119  0.95375006],[0.54343186 0.79716888 0.26306576],[ 0.8391673  -0.52406204 -0.14545522],0.5582414558060708,-0.17162755933077878,0.5750459785149136
465,234525,85,"[636.2377529048076, 229.67967594073127, 120.17320541520094]",[-0.06434749 -0.19775023  0.97813815],[0.72760506 0.66152114 0.18160576],[-0.68297165  0.72338415  0.10131684],0.8141258755575166,-0.14727300056729475,0.8189731197300884
466,98380,35,"[662.5842346005286, 2412.756413905265, 52.93070746086603]",[0.49595732 0.74176714 0.45145083],[-0.02963234 -0.50513662  0.86253053],[ 0.86784115 -0.44115587 -0.22854591],0.4702950411402765,-0.25750330278043065,0.5199557791462992
467,53276,19,"[641.6555672347774, 469.45547713792325, 181.9524926796306]",[ 0.71029615  0.50334594 -0.49205919],[0.38756782 0.30388264 0.87031404],[-0.58759729  0.80888702 -0.02076598],0.9425534807415624,-0.035325795359383,0.9427101157792002
468,7709,2,"[590.544298871449, 505.2459462965365, 91.19924763263718]",[0.64230562 0.76217271 0.08084706],[ 0.00318132 -0.10813293  0.99413135],[ 0.76644202 -0.63827896 -0.0718791 ],0.6944126876871957,-0.09350932785507035,0.6975129553509579
470,7473,2,"[601.0321156162183, 2410.8279138230964, 3.904723671885454]",[0.50671971 0.80595799 0.30605041],[-0.06684009 -0.31720519  0.94599856],[ 0.85951587 -0.49981255 -0.10686382],0.5267090209448299,-0.1236954845177077,0.5364746166289958
473,69471,25,"[649.6410444645967, 1002.6917850613926, 52.41790099465964]",[0.49316832 0.70145336 0.51453687],[-0.29574961 -0.42104678  0.85746824],[ 8.18118070e-01 -5.75050247e-01 -1.92369303e-04],0.612665577167894,-0.0002351363528977939,0.6126656034918847
475,20536,7,"[617.3411569925984, 3452.9132742500974, 45.32654850019478]",[0.6013183  0.58309373 0.5462765 ],[-0.0482029  -0.65597323  0.75324339],[ 0.79755425 -0.47927114 -0.36634189],0.5411001555555606,-0.4305869575908939,0.6475663462836754
476,51834,18,"[642.7977775205463, 3539.438167997839, 34.52650769765019]",[0.58828739 0.3780482  0.71484089],[ 0.25932482  0.74910505 -0.60958368],[ 0.76594294 -0.54398638 -0.34265178],0.6175507444103246,-0.4206558365937445,0.6982896044263921
